"sku","max(price)"
10077,109.0
10140,199.9
10142,98.9
10143,131.9
10147,13.95
10156,50.25
10159,34.41
10177,575.0
10223,21.9
10224,29.9
10226,50.0
10236,79.9
10237,89.9
10277,17.9
10278,100.0
10281,113.0
10283,50.0
10284,77.6
10285,94.2
10286,73.2
10290,94.2
10291,25.5
10296,80.0
10298,80.0
10344,45.9
10345,49.0
10346,55.9
10348,66.9
10349,59.0
10350,85.9
10352,139.0
10354,190.0
10356,289.0
10357,349.0
10365,17.9
10410,159.5
10411,126.5
10422,149.0
10424,268.9
10426,99.0
10428,299.0
10429,244.9
10434,99.0
10439,311.9
10440,29.9
10441,440.9
10442,479.9
10443,499.9
10447,38.9
10448,28.5
10453,31.9
10454,31.9
10572,44.9
10575,79.9
10581,8.9
10588,1047.3
10593,69.9
10595,26.9
10596,26.9
10600,14.5
10601,14.5
10602,14.5
10603,16.9
10604,9.5
10605,9.5
10606,9.5
10607,18.9
10608,5.0
10609,18.9
10610,84.9
10611,19.9
10613,19.9
10614,94.9
10615,18.9
10617,18.9
10618,87.9
10619,12.9
10620,10.9
10621,36.9
10622,172.9
10623,169.9
10625,49.9
10630,4619.9
10632,6431.9
10633,1449.0
10668,176.0
10669,145.0
10673,1.9
10674,1.9
10675,0.9
10676,2.8
10677,1.1
10678,4.0
10679,1.3
10680,1.6
10681,2.2
10682,2.8
10683,4.0
10684,4.6
10685,1.3
10686,2.9
10687,1.0
10688,4.1
10689,4.7
10690,5.9
10693,29.9
10694,39.9
10695,5.9
10696,5.9
10697,3.9
10698,3.5
10699,1.9
10700,2.9
10701,6.3
10702,6.3
10703,19.0
10704,19.0
10705,54.9
10706,69.9
10711,19.0
10714,9.9
10715,5.9
10716,15.9
10721,10.6
10722,6.9
10723,17.9
10724,14.9
10725,15.9
10728,699.0
10730,1199.0
10731,1599.0
10767,52.7
10783,39.8
10784,30.7
10785,38.3
10787,8.4
10789,8.3
10790,5.8
10791,32.5
10792,6.5
10794,4.9
10795,7.9
10812,5.5
10813,17.9
10815,49.9
10817,5.7
10820,23.9
10823,12.5
10849,899.0
10850,1699.0
10852,2999.0
10854,1149.0
10860,61.7
10861,30.0
10863,19.9
10866,36.8
10867,9.9
10883,39.9
10884,25.9
10914,59.9
10966,15.6
10967,19.9
10976,19.9
10986,1799.0
10992,1549.0
10993,1749.0
10994,1869.0
10995,1839.0
10996,899.0
10997,2199.0
10998,2799.0
10999,4199.0
11000,9.9
11003,13.5
11004,49.9
11008,106.9
11083,4.9
11090,49.9
11091,49.9
11092,49.9
11093,49.9
11094,29.9
11095,19.9
11106,99.9
11107,124.5
11108,84.9
11109,71.9
11110,82.9
11111,55.9
11112,66.9
11131,23.0
11132,42.9
11141,21.0
11143,19.9
11144,0.1
11145,0.1
11159,0.5
11160,0.5
11164,37.9
11165,55.9
11166,10.9
11167,22.3
11169,4.0
11170,13.5
11171,1.0
11173,8.9
11179,99.9
11181,75.9
11187,112.9
11209,8.9
11211,47.4
11212,44.9
11232,13.5
11233,13.5
11235,13.5
11236,13.5
11238,20.9
11239,20.9
11265,9.2
11266,9.2
11268,15.6
11269,15.6
11297,47.9
11298,47.9
11300,39.9
11301,39.9
11302,29.4
11303,43.2
11304,8.5
11305,12.5
11306,45.3
11307,32.9
11308,32.9
11309,32.9
11310,32.9
11311,32.9
11312,32.9
11319,96.6
11320,20.0
11323,99.9
11324,99.9
11327,49.9
11328,49.9
11331,49.9
11347,30.9
11348,18.9
11349,19.9
11350,22.9
11351,25.9
11352,18.9
11353,19.9
11354,23.9
11357,20.9
11360,48.9
11361,37.9
11366,24.9
11367,26.9
11368,28.9
11369,31.9
11372,22.9
11373,25.9
11374,27.9
11375,29.9
11376,31.9
11380,4.9
11405,73.2
11406,52.7
11407,42.1
11408,37.9
11410,47.9
11411,486.0
11413,19.9
11414,47.4
11415,125.9
11417,751.0
11418,172.9
11419,423.0
11420,17.9
11433,58.9
11434,13.9
11435,9.9
11437,35.9
11445,1.0
11446,16.9
11454,1.0
11619,19.9
11621,1.0
11630,32.9
11645,1.9
11649,20.9
11658,44.9
11665,38.5
11666,103.9
11675,14.6
11678,22.5
11679,1.0
11681,14.9
11683,20.4
11690,11.5
11691,11.5
11692,11.5
11693,15.9
11694,15.9
11695,15.9
11699,55.1
11700,42.9
11703,69.9
11715,42.9
11719,2382.0
11720,2499.0
11721,4285.0
11760,19.9
11761,38.9
11762,10.0
11763,14.9
11765,12.9
11800,5981.0
11805,5.0
11816,0.1
11866,88.0
11917,23.0
11918,1525.0
11923,23.0
11924,23.0
11929,19.9
11930,5.0
11931,405.0
11933,1174.0
11938,55.0
11940,2742.0
11953,535.0
11958,120.0
12023,11.2
12024,14.9
12025,22.4
12026,29.9
12027,37.4
12028,39.9
12029,22.4
12030,24.9
12034,54.9
12036,61.9
12039,179.9
12040,149.9
12050,8.5
12051,11.9
12052,19.9
12054,35.9
12055,44.9
12056,7.9
12057,10.5
12058,19.9
12060,33.9
12061,42.9
12062,9.5
12063,9.5
12064,13.9
12065,4.9
12066,21.9
12067,31.9
12068,6.5
12069,8.5
12070,12.9
12071,4.9
12072,21.9
12073,30.9
12077,27.9
12079,142.9
12081,109.9
12083,142.9
12084,79.9
12086,19.9
12087,19.9
12089,31.0
12112,990.9
12113,79.9
12117,990.9
12120,299.0
12122,999.9
12125,299.0
12127,1090.9
12129,299.0
12130,299.0
12132,1090.9
12140,1390.9
12142,390.0
12143,390.0
12144,740.9
12147,390.0
12148,390.0
12149,690.9
12150,1399.9
12152,390.0
12153,390.0
12155,1399.9
12156,879.9
12157,1690.9
12158,790.9
12159,1490.9
12160,790.9
12161,1490.9
12162,879.9
12163,1690.9
12164,849.9
12165,1590.9
12166,890.9
12167,1790.9
12168,890.9
12169,1790.9
12193,13.0
12194,10.7
12209,17.5
12210,52.9
12211,17.9
12214,21.9
12216,0.1
12217,4.1
12219,0.5
12221,2.2
12222,1.7
12223,2.9
12224,2.2
12225,2.9
12226,3.4
12227,2.3
12228,1.7
12229,2.9
12230,0.5
12231,1.0
12244,1.0
12251,0.1
12255,8.5
12256,9.6
12257,9.5
12258,33.9
12271,10.9
12275,73.2
12278,36.9
12279,42.9
12282,12.9
12283,179.9
12284,311.9
12340,119.9
12385,79.9
12388,24.9
12391,7.9
12398,29.9
12400,54.9
12405,73.2
12406,99.0
12407,119.0
12408,19.9
12522,62.7
12523,83.7
12524,109.9
12525,29.9
12554,580.0
12557,69.0
12558,89.0
12560,36.9
12561,36.9
12562,36.9
12563,49.9
12564,36.9
12565,36.9
12572,99.0
12573,100.0
12574,100.0
12575,100.0
12576,59.9
12577,176.0
12578,859.0
12579,799.0
12580,399.0
12581,399.0
12582,1333.0
12583,1333.0
12584,109.9
12588,16.7
12589,17.0
12592,1.0
12593,5.0
12596,9.9
12597,80.0
12600,1.0
12601,23.9
12605,4.9
12606,9.9
12613,7.9
12614,4.5
12615,5.9
12616,6.9
12622,11.0
12630,3.9
12632,1.9
12639,8.9
12642,33.9
12646,9.9
12647,34.9
12648,46.9
12653,8.5
12661,79.9
12665,49.9
12666,61.9
12667,79.9
12668,78.9
12669,95.9
12670,110.9
12683,0.5
12699,1.5
12702,6.9
12703,4.9
12704,6.9
12705,4.9
12706,6.9
12708,32.9
12709,3.9
12727,152.0
12729,300.0
12730,190.0
12732,350.0
12733,450.0
12734,450.0
12760,36.8
12761,68.0
12762,27.9
12763,24.8
12764,17.9
12765,5.0
12766,21.9
12767,57.9
12768,15.3
12771,42.3
12772,24.3
12773,15.9
12776,9.9
12777,9.9
12778,9.9
12781,59.0
12782,64.9
12784,59.0
12789,44.0
12793,51.5
12794,10.9
12795,17.8
12797,12.0
12798,51.5
12799,51.5
12800,51.5
12803,374.9
12811,16.9
12813,16.9
12816,24.9
12821,19.5
12822,4.9
12832,279.9
12833,279.9
12853,0.7
12854,0.7
12855,0.7
12856,0.7
12857,0.1
12858,0.8
12859,0.8
12861,1.0
12862,0.3
12863,1.0
12864,0.8
12865,1.0
12867,3.5
12868,4.0
12869,4.0
12870,4.0
12871,0.5
12872,0.3
12873,4.6
12875,4.6
12877,4.6
12878,0.1
12880,0.5
12881,6.9
12882,8.9
12883,9.9
12884,22.9
12885,28.9
12894,799.0
12951,5.9
12952,21.9
12953,80.9
12957,18.9
12958,69.9
12962,15.9
12963,24.9
12964,4.6
12965,10.7
12969,7.9
12970,7.9
12971,11.9
12979,10.9
12986,15.6
12988,15.6
12991,10.9
12995,39.9
13001,19.9
13002,22.9
13003,17.9
13005,17.9
13006,1.0
13008,36.9
13038,65.0
13051,6.3
13052,7.4
13053,8.5
13054,12.5
13055,17.8
13056,5.3
13057,5.7
13058,8.5
13059,14.6
13060,18.8
13067,15.6
13070,26.2
13099,59.9
13100,132.5
13101,74.9
13103,30.5
13105,36.9
13128,55.9
13133,35.9
13134,39.9
13136,135.9
13162,0.1
13164,1.0
13176,304.9
13184,353.9
13188,223.9
13191,538.9
13193,466.9
13199,227.9
13202,279.0
13207,195.0
13209,290.9
13210,237.0
13213,469.9
13216,394.9
13217,434.9
13220,258.0
13221,239.9
13224,274.9
13229,230.9
13230,628.9
13232,543.9
13233,669.9
13234,543.9
13235,616.9
13236,545.9
13237,544.9
13238,541.9
13250,5.7
13251,6.3
13252,5.9
13253,7.0
13254,6.3
13255,7.4
13290,52.7
13316,899.9
13318,1534.9
13322,259.0
13323,262.9
